Endothelial,Microglial,Concentration,G-CSF,Eotaxin,GM-CSF,IL-1a,Leptin,MIP-1a,lL-4,IL-1b,IL-2,IL-6,EGF,IL-13,IL-10,IL-12p70,IFN-y,IL-5,IL-17A,IL-18,MCP-1,IP-10,GRO/KC/CINC-1,VEGF,Fractalkine,LIX,MIP-2,TNF-a,RANTES
True,False,0 ug/ml,18.0,25.0,49.0,44.0,44.0,2714.0,14.0,78.0,15.0,21.0,14.0,88.0,90.0,26.0,72.0,10.0,30.0,53.0,1215.0,320.0,5171.0,2757.0,36.0,317,182.0,33.0,2253.0
True,False,0 ug/ml,17.0,14.0,46.0,26.0,47.0,6605.0,26.0,41.0,37.0,14.0,27.0,16.0,49.0,13.0,7.0,39.0,54.0,41.0,1107.0,535.0,4368.0,3664.0,44.0,226,369.0,76.0,3476.0
True,False,0 ug/ml,66.0,9.0,34.0,31.0,47.0,4345.0,15.0,46.0,31.0,15.0,19.0,15.0,81.0,7.0,33.0,28.0,104.0,43.0,794.0,366.0,5475.0,2751.0,125.0,155,311.0,37.0,1865.0
True,False,0 ug/ml,17.0,10.0,41.0,230.0,82.0,6934.0,12.0,45.0,14.0,26.0,50.0,18.0,155.0,9.0,41.0,14.0,73.0,24.0,1631.0,1152.0,5704.0,2164.0,72.0,380,762.0,56.0,2717.0
True,False,0 ug/ml,33.0,16.0,73.0,155.0,40.0,7824.0,27.0,251.0,26.0,22.0,34.0,31.0,126.0,17.0,29.0,13.0,47.0,58.0,1034.0,1206.0,8291.0,3745.0,45.0,1341,322.0,60.0,1781.0
True,False,0 ug/ml,17.0,20.0,62.0,46.0,65.0,8481.0,23.0,49.0,23.0,21.0,31.0,23.0,139.0,13.0,4.0,52.0,24.0,35.0,612.0,326.0,5937.0,2691.0,50.0,376,612.0,41.0,2702.0
True,False,0 ug/ml,32.0,12.0,85.0,20.0,50.0,8185.0,17.0,31.0,29.0,24.0,17.0,22.0,51.0,42.0,40.0,8.0,39.0,56.0,1242.0,403.0,2521.0,2484.0,54.0,70,321.0,57.0,2669.0
True,False,0 ug/ml,15.0,18.0,27.0,11.0,51.0,9088.0,32.0,38.0,1.0,39.0,27.0,26.0,109.0,6.0,46.0,61.0,40.0,543.0,1201.0,382.0,3524.0,5061.0,55.0,385,446.0,31.0,2953.0
True,False,0 ug/ml,24.0,14.0,45.0,30.0,26.0,10730.0,22.0,40.0,22.0,11.0,17.0,19.0,147.0,26.0,30.0,10.0,40.0,45.0,1180.0,3813.0,7036.0,2159.0,78.0,111,451.0,46.0,1736.0
True,False,0 ug/ml,23.0,42.0,39.0,40.0,87.0,7721.0,15.0,31.0,22.0,16.0,14.0,16.0,173.0,10.0,16.0,23.0,37.0,54.0,1509.0,202.0,7117.0,3633.0,98.0,322,532.0,64.0,1667.0
True,False,0 ug/ml,15.0,129.0,55.0,36.0,40.0,17.0,25.0,41.0,25.0,32.0,42.0,59.0,115.0,10.0,46.0,54.0,69.0,58.0,1758.0,2071.0,13834.0,2947.0,52.0,254,319.0,44.0,1593.0
True,False,0 ug/ml,29.0,20.0,50.0,22.0,40.0,6752.0,7.0,33.0,13.0,12.0,22.0,24.0,79.0,13.0,32.0,16.0,26.0,48.0,1747.0,1229.0,6186.0,4374.0,115.0,311,845.0,32.0,2714.0
True,False,0 ug/ml,21.0,26.0,49.0,25.0,32.0,9371.0,13.0,27.0,23.0,28.0,16.0,21.0,87.0,9.0,41.0,28.0,35.0,48.0,861.0,406.0,5666.0,4905.0,43.0,433,574.0,38.0,2332.0
True,False,0 ug/ml,18.0,30.0,31.0,35.0,48.0,7454.0,21.0,31.0,15.0,13.0,20.0,21.0,81.0,19.0,20.0,15.0,372.0,38.0,8.0,2352.0,2321.0,4336.0,40.0,388,262.0,34.0,3023.0
True,False,0 ug/ml,21.0,14.0,42.0,30.0,41.0,6807.0,14.0,31.0,16.0,20.0,32.0,17.0,128.0,12.0,38.0,12.0,61.0,34.0,927.0,16.0,7987.0,2505.0,8928.0,271,370.0,36.0,3737.0
True,False,0 ug/ml,19.0,19.0,43.0,56.0,67.0,5371.0,14.0,33.0,18.0,27.0,28.0,24.0,10.0,9.0,58.0,24.0,55.0,60.0,2359.0,167.0,1414.0,2164.0,97.0,337,522.0,51.0,476.0
True,False,0 ug/ml,20.0,29.0,46.0,29.0,41.0,9815.0,15.0,34.0,33.0,94.0,20.0,19.0,132.0,23.0,27.0,28.0,82.0,58.0,770.0,1201.0,5379.0,1119.0,52.0,249,448.0,29.0,2743.0
True,False,0 ug/ml,23.0,43.0,32.0,33.0,39.0,3969.0,12.0,44.0,29.0,15.0,12.0,24.0,128.0,15.0,52.0,20.0,29.0,34.0,1250.0,2617.0,5395.0,6172.0,28.0,459,267.0,70.0,2996.0
True,False,0 ug/ml,19.0,23.0,54.0,23.0,92.0,7843.0,20.0,52.0,17.0,15.0,24.0,41.0,99.0,13.0,57.0,14.0,40.0,66.0,3166.0,1461.0,3029.0,470.0,50.0,311,573.0,47.0,3091.0
True,False,0 ug/ml,18.0,25.0,36.0,19.0,46.0,8295.0,14.0,152.0,17.0,27.0,18.0,32.0,44.0,14.0,35.0,7.0,29.0,50.0,764.0,1365.0,9441.0,534.0,55.0,108,412.0,72.0,760.0
True,False,0 ug/ml,13.0,12.0,43.0,17.0,40.0,7209.0,11.0,22.0,12.0,18.0,16.0,20.0,72.0,12.0,45.0,13.0,87.0,83.0,1145.0,2955.0,5700.0,2601.0,52.0,553,475.0,52.0,2905.0
True,False,0 ug/ml,14.0,16.0,50.0,26.0,57.0,7444.0,12.0,19.0,25.0,19.0,26.0,19.0,105.0,17.0,39.0,159.0,58.0,99.0,2503.0,1531.0,3599.0,3940.0,52.0,356,578.0,36.0,466.0
True,False,0 ug/ml,16.0,23.0,83.0,26.0,73.0,6440.0,16.0,98.0,19.0,20.0,14.0,20.0,151.0,24.0,43.0,32.0,77.0,52.0,757.0,1387.0,7007.0,2289.0,49.0,222,237.0,97.0,3352.0
