Group,LDH
ENDO 0,0.155
ENDO 0,0.149
ENDO 0,0.149
ENDO 0,0.157
ENDO 0,0.152
ENDO 0,0.153
ENDO 0,0.154
ENDO 0,0.159
ENDO 0,0.163
ENDO 0,0.159
ENDO 0,0.161
ENDO 0,0.157
ENDO 0,0.159
ENDO 0,0.166
ENDO 0,0.217
ENDO 0,0.174
ENDO 0,0.154
ENDO 0,0.149
ENDO 0,0.147
ENDO 0,0.153
ENDO 0,0.149
ENDO 0,0.153
ENDO 0,0.152
ENDO 0,0.159
ENDO 0,0.151
ENDO 0,0.156
ENDO 0,0.152
ENDO 0,0.153
ENDO 0,0.165
ENDO 0,0.16
ENDO 0,0.165
ENDO 0,0.157
ENDO 0,0.16
ENDO 0,0.156
ENDO 0,0.157
ENDO 0,0.156
ENDO 0,0.157
ENDO 0,0.157
ENDO 0,0.159
ENDO 0,0.158
ENDO 0,0.153
ENDO 0,0.15
ENDO 0,0.137
ENDO 0,0.151
ENDO 0,0.153
ENDO 0,0.153
ENDO 0,0.159
ENDO 0,0.158
ENDO 0.002,0.177
ENDO 0.002,0.318
ENDO 0.002,0.292
ENDO 0.002,0.164
ENDO 0.002,0.164
ENDO 0.002,0.16
ENDO 0.002,0.172
ENDO 0.002,0.185
ENDO 0.002,0.168
ENDO 0.002,0.165
ENDO 0.002,0.167
ENDO 0.002,0.167
ENDO 0.002,0.165
ENDO 0.002,0.172
ENDO 0.002,0.18
ENDO 0.002,0.177
ENDO 0.002,0.172
ENDO 0.002,0.159
ENDO 0.002,0.156
ENDO 0.002,0.168
ENDO 0.002,0.163
ENDO 0.002,0.177
ENDO 0.002,0.177
ENDO 0.002,0.18
ENDO 0.002,0.168
ENDO 0.002,0.156
ENDO 0.002,0.161
ENDO 0.002,0.165
ENDO 0.002,0.171
ENDO 0.002,0.157
ENDO 0.002,0.16
ENDO 0.002,0.171
ENDO 0.002,0.172
ENDO 0.002,0.159
ENDO 0.002,0.156
ENDO 0.002,0.159
ENDO 0.002,0.158
ENDO 0.002,0.164
ENDO 0.002,0.173
ENDO 0.002,0.172
ENDO 0.002,0.166
ENDO 0.002,0.164
ENDO 0.002,0.163
ENDO 0.002,0.16
ENDO 0.002,0.152
ENDO 0.002,0.151
ENDO 0.002,0.16
ENDO 0.002,0.174
ENDO 1,0.214
ENDO 1,0.188
ENDO 1,0.332
ENDO 1,0.231
ENDO 1,0.204
ENDO 1,0.189
ENDO 1,0.187
ENDO 1,0.203
ENDO 1,0.19
ENDO 1,0.197
ENDO 1,0.197
ENDO 1,0.2
ENDO 1,0.188
ENDO 1,0.181
ENDO 1,0.183
ENDO 1,0.214
ENDO 1,0.225
ENDO 1,0.19
ENDO 1,0.205
ENDO 1,0.201
ENDO 1,0.193
ENDO 1,0.201
ENDO 1,0.246
ENDO 1,0.231
ENDO 1,0.192
ENDO 1,0.185
ENDO 1,0.185
ENDO 1,0.188
ENDO 1,0.194
ENDO 1,0.184
ENDO 1,0.185
ENDO 1,0.197
ENDO 1,0.197
ENDO 1,0.192
ENDO 1,0.192
ENDO 1,0.188
ENDO 1,0.187
ENDO 1,0.189
ENDO 1,0.197
ENDO 1,0.193
ENDO 1,0.196
ENDO 1,0.191
ENDO 1,0.19
ENDO 1,0.195
ENDO 1,0.202
ENDO 1,0.199
ENDO 1,0.2
ENDO 1,0.196
ENDO 20,0.236
ENDO 20,0.302
ENDO 20,0.323
ENDO 20,0.329
ENDO 20,0.349
ENDO 20,0.303
ENDO 20,0.293
ENDO 20,0.208
ENDO 20,0.207
ENDO 20,0.206
ENDO 20,0.209
ENDO 20,0.208
ENDO 20,0.219
ENDO 20,0.214
ENDO 20,0.227
ENDO 20,0.231
ENDO 20,0.213
ENDO 20,0.203
ENDO 20,0.213
ENDO 20,0.224
ENDO 20,0.221
ENDO 20,0.238
ENDO 20,0.242
ENDO 20,0.239
ENDO 20,0.209
ENDO 20,0.193
ENDO 20,0.197
ENDO 20,0.215
ENDO 20,0.194
ENDO 20,0.183
ENDO 20,0.197
ENDO 20,0.217
ENDO 20,0.197
ENDO 20,0.188
ENDO 20,0.196
ENDO 20,0.191
ENDO 20,0.185
ENDO 20,0.192
ENDO 20,0.191
ENDO 20,0.195
ENDO 20,0.197
ENDO 20,0.2
ENDO 20,0.196
ENDO 20,0.201
ENDO 20,0.193
ENDO 20,0.198
ENDO 20,0.206
ENDO 20,0.202
MICRO 0,0.191
MICRO 0,0.182
MICRO 0,0.176
