Group,MTT
ENDO 0,0.049
ENDO 0,0.073
ENDO 0,0.11
ENDO 0,0.129
ENDO 0,0.168
ENDO 0,0.144
ENDO 0,0.157
ENDO 0,0.15
ENDO 0,0.121
ENDO 0,0.133
ENDO 0,0.131
ENDO 0,0.055
ENDO 0,0.097
ENDO 0,0.088
ENDO 0,0.123
ENDO 0,0.124
ENDO 0,0.117
ENDO 0,0.132
ENDO 0,0.208
ENDO 0,0.189
ENDO 0,0.205
ENDO 0,0.161
ENDO 0,0.203
ENDO 0,0.162
ENDO 0,0.097
ENDO 0,0.104
ENDO 0,0.121
ENDO 0,0.111
ENDO 0,0.111
ENDO 0,0.097
ENDO 0,0.128
ENDO 0,0.092
ENDO 0,0.133
ENDO 0,0.133
ENDO 0,0.125
ENDO 0,0.111
ENDO 0.002,0.05
ENDO 0.002,0.052
ENDO 0.002,0.18
ENDO 0.002,0.158
ENDO 0.002,0.164
ENDO 0.002,0.139
ENDO 0.002,0.121
ENDO 0.002,0.145
ENDO 0.002,0.11
ENDO 0.002,0.121
ENDO 0.002,0.14
ENDO 0.002,0.118
ENDO 0.002,0.113
ENDO 0.002,0.159
ENDO 0.002,0.112
ENDO 0.002,0.124
ENDO 0.002,0.139
ENDO 0.002,0.125
ENDO 0.002,0.151
ENDO 0.002,0.197
ENDO 0.002,0.144
ENDO 0.002,0.152
ENDO 0.002,0.166
ENDO 0.002,0.145
ENDO 0.002,0.115
ENDO 0.002,0.129
ENDO 0.002,0.142
ENDO 0.002,0.113
ENDO 0.002,0.152
ENDO 0.002,0.127
ENDO 0.002,0.108
ENDO 0.002,0.138
ENDO 0.002,0.128
ENDO 0.002,0.136
ENDO 0.002,0.145
ENDO 0.002,0.155
ENDO 1,0.124
ENDO 1,0.059
ENDO 1,0.16
ENDO 1,0.142
ENDO 1,0.141
ENDO 1,0.135
ENDO 1,0.078
ENDO 1,0.068
ENDO 1,0.071
ENDO 1,0.068
ENDO 1,0.068
ENDO 1,0.067
ENDO 1,0.093
ENDO 1,0.143
ENDO 1,0.11
ENDO 1,0.104
ENDO 1,0.08
ENDO 1,0.082
ENDO 1,0.106
ENDO 1,0.104
ENDO 1,0.14
ENDO 1,0.146
ENDO 1,0.096
ENDO 1,0.082
ENDO 1,0.062
ENDO 1,0.079
ENDO 1,0.064
ENDO 1,0.063
ENDO 1,0.07
ENDO 1,0.055
ENDO 1,0.063
ENDO 1,0.057
ENDO 1,0.065
ENDO 1,0.061
ENDO 1,0.063
ENDO 1,0.064
ENDO 20,0.052
ENDO 20,0.066
ENDO 20,0.074
ENDO 20,0.065
ENDO 20,0.053
ENDO 20,0.061
ENDO 20,0.064
ENDO 20,0.067
ENDO 20,0.06
ENDO 20,0.064
ENDO 20,0.064
ENDO 20,0.066
ENDO 20,0.059
ENDO 20,0.065
ENDO 20,0.056
ENDO 20,0.067
ENDO 20,0.073
ENDO 20,0.061
ENDO 20,0.119
ENDO 20,0.157
ENDO 20,0.132
ENDO 20,0.146
ENDO 20,0.156
ENDO 20,0.12
ENDO 20,0.092
ENDO 20,0.117
ENDO 20,0.111
ENDO 20,0.092
ENDO 20,0.087
ENDO 20,0.11
ENDO 20,0.144
ENDO 20,0.11
ENDO 20,0.111
ENDO 20,0.18
ENDO 20,0.158
ENDO 20,0.147
MICRO 0,0.046
MICRO 0,0.048
MICRO 0,0.056
MICRO 0,0.05
MICRO 0,0.052
MICRO 0,0.062
MICRO 0,0.047
