Group,ROS
ENDO 0,52845
ENDO 0,58210
ENDO 0,55811
ENDO 0,56168
ENDO 0,51827
ENDO 0,41771
ENDO 0,37735
ENDO 0,31411
ENDO 0,54617
ENDO 0,54780
ENDO 0,43383
ENDO 0,46430
ENDO 0,39129
ENDO 0,33454
ENDO 0,29790
ENDO 0,24338
ENDO 0,63902
ENDO 0,62785
ENDO 0,57667
ENDO 0,56151
ENDO 0,51490
ENDO 0,44963
ENDO 0,44701
ENDO 0,43549
ENDO 0,42865
ENDO 0,44668
ENDO 0,44767
ENDO 0,37454
ENDO 0,31523
ENDO 0,33332
ENDO 0,32791
ENDO 0,26147
ENDO 0,50282
ENDO 0,51342
ENDO 0,37853
ENDO 0,39856
ENDO 0,29508
ENDO 0,26174
ENDO 0,23338
ENDO 0,21657
ENDO 0,53894
ENDO 0,53346
ENDO 0,48017
ENDO 0,49557
ENDO 0,41770
ENDO 0,36587
ENDO 0,33709
ENDO 0,31217
ENDO 0.002,74140
ENDO 0.002,91884
ENDO 0.002,81522
ENDO 0.002,65022
ENDO 0.002,62921
ENDO 0.002,56451
ENDO 0.002,51166
ENDO 0.002,45657
ENDO 0.002,78271
ENDO 0.002,79808
ENDO 0.002,58625
ENDO 0.002,50401
ENDO 0.002,44594
ENDO 0.002,37450
ENDO 0.002,41685
ENDO 0.002,31853
ENDO 0.002,78463
ENDO 0.002,85853
ENDO 0.002,82223
ENDO 0.002,87162
ENDO 0.002,66758
ENDO 0.002,57161
ENDO 0.002,54618
ENDO 0.002,47439
ENDO 0.002,52700
ENDO 0.002,57713
ENDO 0.002,42790
ENDO 0.002,48596
ENDO 0.002,42147
ENDO 0.002,36204
ENDO 0.002,35889
ENDO 0.002,29204
ENDO 0.002,54047
ENDO 0.002,63178
ENDO 0.002,41213
ENDO 0.002,39967
ENDO 0.002,33589
ENDO 0.002,30565
ENDO 0.002,25958
ENDO 0.002,21195
ENDO 0.002,65255
ENDO 0.002,59620
ENDO 0.002,63983
ENDO 0.002,61512
ENDO 0.002,49155
ENDO 0.002,47921
ENDO 0.002,39566
ENDO 0.002,39359
ENDO 1,68886
ENDO 1,84696
ENDO 1,83751
ENDO 1,74931
ENDO 1,70656
ENDO 1,58197
ENDO 1,50067
ENDO 1,47583
ENDO 1,90403
ENDO 1,85061
ENDO 1,67199
ENDO 1,58364
ENDO 1,50334
ENDO 1,43801
ENDO 1,43770
ENDO 1,37194
ENDO 1,79381
ENDO 1,82318
ENDO 1,80318
ENDO 1,72521
ENDO 1,67478
ENDO 1,55608
ENDO 1,55206
ENDO 1,56145
ENDO 1,47050
ENDO 1,51550
ENDO 1,45313
ENDO 1,46132
ENDO 1,39560
ENDO 1,40069
ENDO 1,32580
ENDO 1,39440
ENDO 1,55101
ENDO 1,51471
ENDO 1,39723
ENDO 1,39235
ENDO 1,32732
ENDO 1,38255
ENDO 1,25050
ENDO 1,35645
ENDO 1,55805
ENDO 1,59011
ENDO 1,49516
ENDO 1,50719
ENDO 1,40752
ENDO 1,38959
ENDO 1,35467
ENDO 1,32104
ENDO 20,100487
ENDO 20,104115
ENDO 20,100049
ENDO 20,88919
ENDO 20,87321
ENDO 20,63579
ENDO 20,67763
ENDO 20,57069
ENDO 20,100873
ENDO 20,92323
ENDO 20,89976
ENDO 20,75394
ENDO 20,65512
ENDO 20,59387
ENDO 20,51062
ENDO 20,85320
ENDO 20,110639
ENDO 20,111988
ENDO 20,104373
ENDO 20,87398
ENDO 20,90258
ENDO 20,78204
ENDO 20,76536
ENDO 20,69822
ENDO 20,57046
ENDO 20,66864
ENDO 20,59200
ENDO 20,65677
ENDO 20,52591
ENDO 20,48078
ENDO 20,44162
ENDO 20,41948
ENDO 20,63209
ENDO 20,76102
ENDO 20,53782
ENDO 20,59756
ENDO 20,45084
ENDO 20,39020
ENDO 20,34129
ENDO 20,29150
ENDO 20,76055
ENDO 20,73060
ENDO 20,69628
ENDO 20,89853
ENDO 20,62214
ENDO 20,52935
ENDO 20,49192
ENDO 20,44918
MIXED.ENDO-HAPI 0,49477
MIXED.ENDO-HAPI 0,35673
MIXED.ENDO-HAPI 0,53666
MIXED.ENDO-HAPI 0,50555
MIXED.ENDO-HAPI 0,29879
MIXED.ENDO-HAPI 0,19862
MIXED.ENDO-HAPI 0,18124
MIXED.ENDO-HAPI 0,15770
MIXED.ENDO-HAPI 0,48674
MIXED.ENDO-HAPI 0,42122
MIXED.ENDO-HAPI 0,49109
MIXED.ENDO-HAPI 0,47130
MIXED.ENDO-HAPI 0,31752
MIXED.ENDO-HAPI 0,28048
MIXED.ENDO-HAPI 0,23734
MIXED.ENDO-HAPI 0,24090
MIXED.ENDO-HAPI 0,29532
MIXED.ENDO-HAPI 0,30957
MIXED.ENDO-HAPI 0,35805
MIXED.ENDO-HAPI 0,31213
MIXED.ENDO-HAPI 0,33434
MIXED.ENDO-HAPI 0,30366
MIXED.ENDO-HAPI 0,32309
MIXED.ENDO-HAPI 0,16467
MIXED.ENDO-HAPI 0,42123
MIXED.ENDO-HAPI 0,41505
MIXED.ENDO-HAPI 0,36438
MIXED.ENDO-HAPI 0,28386
MIXED.ENDO-HAPI 0,26676
MIXED.ENDO-HAPI 0,25043
MIXED.ENDO-HAPI 0,21517
MIXED.ENDO-HAPI 0,22307
MIXED.ENDO-HAPI 0,60269
MIXED.ENDO-HAPI 0,48124
MIXED.ENDO-HAPI 0,39047
MIXED.ENDO-HAPI 0,31915
