fluorescence,negCTRL,posCTRL,dose_ug,ENDO,HAPI
43182,TRUE,FALSE,0,TRUE,FALSE
39974,TRUE,FALSE,0,TRUE,FALSE
40766,TRUE,FALSE,0,TRUE,FALSE
33716,TRUE,FALSE,0,TRUE,FALSE
31791,TRUE,FALSE,0,TRUE,FALSE
27509,TRUE,FALSE,0,TRUE,FALSE
27595,TRUE,FALSE,0,TRUE,FALSE
24656,TRUE,FALSE,0,TRUE,FALSE
58915,TRUE,FALSE,0,TRUE,FALSE
52261,TRUE,FALSE,0,TRUE,FALSE
54478,TRUE,FALSE,0,TRUE,FALSE
38945,TRUE,FALSE,0,TRUE,FALSE
42474,TRUE,FALSE,0,TRUE,FALSE
34450,TRUE,FALSE,0,TRUE,FALSE
35624,TRUE,FALSE,0,TRUE,FALSE
30630,TRUE,FALSE,0,TRUE,FALSE
59477,TRUE,FALSE,0,TRUE,FALSE
50185,TRUE,FALSE,0,TRUE,FALSE
55058,TRUE,FALSE,0,TRUE,FALSE
49731,TRUE,FALSE,0,TRUE,FALSE
50266,TRUE,FALSE,0,TRUE,FALSE
43229,TRUE,FALSE,0,TRUE,FALSE
42241,TRUE,FALSE,0,TRUE,FALSE
34096,TRUE,FALSE,0,TRUE,FALSE
44276,TRUE,FALSE,0,TRUE,FALSE
45273,TRUE,FALSE,0,TRUE,FALSE
35987,TRUE,FALSE,0,TRUE,FALSE
35543,TRUE,FALSE,0,TRUE,FALSE
31666,TRUE,FALSE,0,TRUE,FALSE
34454,TRUE,FALSE,0,TRUE,FALSE
25089,TRUE,FALSE,0,TRUE,FALSE
22730,TRUE,FALSE,0,TRUE,FALSE
50347,TRUE,FALSE,0,TRUE,FALSE
54511,TRUE,FALSE,0,TRUE,FALSE
35249,TRUE,FALSE,0,TRUE,FALSE
33812,TRUE,FALSE,0,TRUE,FALSE
29476,TRUE,FALSE,0,TRUE,FALSE
28454,TRUE,FALSE,0,TRUE,FALSE
25235,TRUE,FALSE,0,TRUE,FALSE
21445,TRUE,FALSE,0,TRUE,FALSE
57956,TRUE,FALSE,0,TRUE,FALSE
55475,TRUE,FALSE,0,TRUE,FALSE
51047,TRUE,FALSE,0,TRUE,FALSE
54463,TRUE,FALSE,0,TRUE,FALSE
43209,TRUE,FALSE,0,TRUE,FALSE
43741,TRUE,FALSE,0,TRUE,FALSE
36345,TRUE,FALSE,0,TRUE,FALSE
32370,TRUE,FALSE,0,TRUE,FALSE
86807,FALSE,TRUE,0,TRUE,FALSE
121935,FALSE,TRUE,0,TRUE,FALSE
116325,FALSE,TRUE,0,TRUE,FALSE
86804,FALSE,TRUE,0,TRUE,FALSE
78719,FALSE,TRUE,0,TRUE,FALSE
68561,FALSE,TRUE,0,TRUE,FALSE
75211,FALSE,TRUE,0,TRUE,FALSE
53795,FALSE,TRUE,0,TRUE,FALSE
90268,FALSE,TRUE,0,TRUE,FALSE
88979,FALSE,TRUE,0,TRUE,FALSE
77996,FALSE,TRUE,0,TRUE,FALSE
60512,FALSE,TRUE,0,TRUE,FALSE
63005,FALSE,TRUE,0,TRUE,FALSE
56418,FALSE,TRUE,0,TRUE,FALSE
48264,FALSE,TRUE,0,TRUE,FALSE
46404,FALSE,TRUE,0,TRUE,FALSE
96065,FALSE,TRUE,0,TRUE,FALSE
112882,FALSE,TRUE,0,TRUE,FALSE
99297,FALSE,TRUE,0,TRUE,FALSE
89533,FALSE,TRUE,0,TRUE,FALSE
90061,FALSE,TRUE,0,TRUE,FALSE
82563,FALSE,TRUE,0,TRUE,FALSE
93202,FALSE,TRUE,0,TRUE,FALSE
82024,FALSE,TRUE,0,TRUE,FALSE
78429,FALSE,TRUE,0,TRUE,FALSE
100456,FALSE,TRUE,0,TRUE,FALSE
87656,FALSE,TRUE,0,TRUE,FALSE
72135,FALSE,TRUE,0,TRUE,FALSE
68153,FALSE,TRUE,0,TRUE,FALSE
59894,FALSE,TRUE,0,TRUE,FALSE
54029,FALSE,TRUE,0,TRUE,FALSE
50025,FALSE,TRUE,0,TRUE,FALSE
93717,FALSE,TRUE,0,TRUE,FALSE
95970,FALSE,TRUE,0,TRUE,FALSE
73975,FALSE,TRUE,0,TRUE,FALSE
62073,FALSE,TRUE,0,TRUE,FALSE
57484,FALSE,TRUE,0,TRUE,FALSE
51331,FALSE,TRUE,0,TRUE,FALSE
44410,FALSE,TRUE,0,TRUE,FALSE
35827,FALSE,TRUE,0,TRUE,FALSE
90174,FALSE,TRUE,0,TRUE,FALSE
91871,FALSE,TRUE,0,TRUE,FALSE
84696,FALSE,TRUE,0,TRUE,FALSE
78565,FALSE,TRUE,0,TRUE,FALSE
69283,FALSE,TRUE,0,TRUE,FALSE
60262,FALSE,TRUE,0,TRUE,FALSE
55974,FALSE,TRUE,0,TRUE,FALSE
