ENDO,MICRO,HAPI,LPS,posCTRL,dose_ug,absorbance
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.054
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.048
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.048
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.047
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.048
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.046
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.049
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.05
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.047
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.05
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.047
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.049
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.055
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.05
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.05
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.05
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.049
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.048
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.05
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.052
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.052
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.05
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.05
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.047
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.048
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.05
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.051
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.051
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.051
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.051
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.058
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.049
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.051
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.048
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.051
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.048
