ENDO,MICRO,HAPI,negCTRL,posCTRL,dose_ug,fluorescence
TRUE,FALSE,FALSE,TRUE,FALSE,0,43182
TRUE,FALSE,FALSE,TRUE,FALSE,0,39974
TRUE,FALSE,FALSE,TRUE,FALSE,0,40766
TRUE,FALSE,FALSE,TRUE,FALSE,0,33716
TRUE,FALSE,FALSE,TRUE,FALSE,0,31791
TRUE,FALSE,FALSE,TRUE,FALSE,0,27509
TRUE,FALSE,FALSE,TRUE,FALSE,0,27595
TRUE,FALSE,FALSE,TRUE,FALSE,0,24656
TRUE,FALSE,FALSE,TRUE,FALSE,0,58915
TRUE,FALSE,FALSE,TRUE,FALSE,0,52261
TRUE,FALSE,FALSE,TRUE,FALSE,0,54478
TRUE,FALSE,FALSE,TRUE,FALSE,0,38945
TRUE,FALSE,FALSE,TRUE,FALSE,0,42474
TRUE,FALSE,FALSE,TRUE,FALSE,0,34450
TRUE,FALSE,FALSE,TRUE,FALSE,0,35624
TRUE,FALSE,FALSE,TRUE,FALSE,0,30630
TRUE,FALSE,FALSE,TRUE,FALSE,0,59477
TRUE,FALSE,FALSE,TRUE,FALSE,0,50185
TRUE,FALSE,FALSE,TRUE,FALSE,0,55058
TRUE,FALSE,FALSE,TRUE,FALSE,0,49731
TRUE,FALSE,FALSE,TRUE,FALSE,0,50266
TRUE,FALSE,FALSE,TRUE,FALSE,0,43229
TRUE,FALSE,FALSE,TRUE,FALSE,0,42241
TRUE,FALSE,FALSE,TRUE,FALSE,0,34096
TRUE,FALSE,FALSE,TRUE,FALSE,0,44276
TRUE,FALSE,FALSE,TRUE,FALSE,0,45273
TRUE,FALSE,FALSE,TRUE,FALSE,0,35987
TRUE,FALSE,FALSE,TRUE,FALSE,0,35543
TRUE,FALSE,FALSE,TRUE,FALSE,0,31666
TRUE,FALSE,FALSE,TRUE,FALSE,0,34454
TRUE,FALSE,FALSE,TRUE,FALSE,0,25089
TRUE,FALSE,FALSE,TRUE,FALSE,0,22730
TRUE,FALSE,FALSE,TRUE,FALSE,0,50347
TRUE,FALSE,FALSE,TRUE,FALSE,0,54511
