ENDO,MICRO,HAPI,LPS,posCTRL,dose_ug,absorbance
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.648
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.738
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.709
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.729
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.712
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.69
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.728
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.61
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.656
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.625
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.646
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.715
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.659
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.679
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.684
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.685
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.7
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.713
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.674
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.695
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.705
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.717
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.704
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.733
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.677
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.724
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.781
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.767
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.811
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.776
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.723
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.598
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.589
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.624
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.605
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.633
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.637
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.59
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.607
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.607
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.644
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.621
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.631
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.657
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.671
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.697
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.697
TRUE,FALSE,FALSE,FALSE,TRUE,0,0.682
TRUE,FALSE,FALSE,TRUE,FALSE,0,0.16
